,Closenes
194,Closenes Centrality Node 8 = 0.16666666666666666
195,Closenes Centrality Node 14 = 0.35588235294117654
196,Closenes Centrality Node 14 = 0.45714285714285713
197,Closenes Centrality Node 5 = 0.25510204081632654
198,Closenes Centrality Node 13 = 0.5413533834586466
199,Closenes Centrality Node 17 = 0.5079365079365079
200,Closenes Centrality Node 12 = 0.18461538461538463
201,Closenes Centrality Node 8 = 0.21333333333333335
202,Closenes Centrality Node 12 = 0.12
203,Closenes Centrality Node 17 = 0.6980676328502415
204,Closenes Centrality Node 11 = 0.41666666666666663
205,Closenes Centrality Node 12 = 0.3095975232198142
206,Closenes Centrality Node 14 = 0.38571428571428573
207,Closenes Centrality Node 12 = 0.4901960784313726
208,Closenes Centrality Node 14 = 0.44999999999999996
209,Closenes Centrality Node 16 = 0.40329218106995884
210,Closenes Centrality Node 17 = 0.43097643097643096
211,Closenes Centrality Node 17 = 0.4023809523809524
212,Closenes Centrality Node 13 = 0.2245614035087719
213,Closenes Centrality Node 12 = 0.42013888888888884
214,Closenes Centrality Node 12 = 0.42016806722689076
215,Closenes Centrality Node 13 = 0.5052631578947369
216,Closenes Centrality Node 14 = 0.0
217,Closenes Centrality Node 9 = 0.2237762237762238
218,Closenes Centrality Node 15 = 0.5357142857142857
219,Closenes Centrality Node 6 = 0.24
220,Closenes Centrality Node 18 = 0.38672768878718533
221,Closenes Centrality Node 13 = 0.41142857142857137
222,Closenes Centrality Node 12 = 0.17066666666666666
223,Closenes Centrality Node 4 = 0.1568627450980392
224,Closenes Centrality Node 12 = 0.3841269841269841
225,Closenes Centrality Node 13 = 0.08333333333333333
226,Closenes Centrality Node 14 = 0.33137254901960783
227,Closenes Centrality Node 14 = 0.46944444444444444
228,Closenes Centrality Node 5 = 0.0
229,Closenes Centrality Node 14 = 0.17763157894736842
230,Closenes Centrality Node 15 = 0.0
231,Closenes Centrality Node 15 = 0.37037037037037035
232,Closenes Centrality Node 8 = 0.1
233,Closenes Centrality Node 15 = 0.4901960784313726
234,Closenes Centrality Node 8 = 0.22727272727272727
235,Closenes Centrality Node 12 = 0.5538461538461539
236,Closenes Centrality Node 13 = 0.3885057471264368
237,Closenes Centrality Node 7 = 0.06666666666666667
238,Closenes Centrality Node 13 = 0.5416666666666666
239,Closenes Centrality Node 14 = 0.17777777777777778
240,Closenes Centrality Node 11 = 0.25098039215686274
241,Closenes Centrality Node 15 = 0.35294117647058826
242,Closenes Centrality Node 15 = 0.0
243,Closenes Centrality Node 19 = 0.4002770083102493
244,Closenes Centrality Node 10 = 0.2631578947368421
245,Closenes Centrality Node 18 = 0.3789473684210526
246,Closenes Centrality Node 15 = 0.24060150375939848
247,Closenes Centrality Node 9 = 0.23529411764705882
248,Closenes Centrality Node 13 = 0.4642857142857143
249,Closenes Centrality Node 12 = 0.2922705314009662
250,Closenes Centrality Node 8 = 0.11428571428571428
251,Closenes Centrality Node 8 = 0.32653061224489793
252,Closenes Centrality Node 11 = 0.42016806722689076
253,Closenes Centrality Node 8 = 0.0
254,Closenes Centrality Node 15 = 0.5142857142857142
255,Closenes Centrality Node 8 = 0.32653061224489793
256,Closenes Centrality Node 12 = 0.32793522267206476
257,Closenes Centrality Node 18 = 0.0
258,Closenes Centrality Node 15 = 0.362962962962963
259,Closenes Centrality Node 10 = 0.36
260,Closenes Centrality Node 18 = 0.30286738351254483
261,Closenes Centrality Node 16 = 0.44999999999999996
262,Closenes Centrality Node 15 = 0.4355555555555556
263,Closenes Centrality Node 12 = 0.2977941176470588
264,Closenes Centrality Node 9 = 0.21818181818181817
265,Closenes Centrality Node 16 = 0.32894736842105265
266,Closenes Centrality Node 6 = 0.2571428571428571
267,Closenes Centrality Node 12 = 0.29752066115702475
268,Closenes Centrality Node 15 = 0.2636165577342048
269,Closenes Centrality Node 12 = 0.5714285714285714
270,Closenes Centrality Node 9 = 0.0
271,Closenes Centrality Node 10 = 0.0
272,Closenes Centrality Node 15 = 0.46944444444444444
273,Closenes Centrality Node 7 = 0.2857142857142857
274,Closenes Centrality Node 8 = 0.5470085470085471
275,Closenes Centrality Node 8 = 0.2604166666666667
276,Closenes Centrality Node 17 = 0.3787878787878788
277,Closenes Centrality Node 16 = 0.28009259259259256
278,Closenes Centrality Node 16 = 0.0
279,Closenes Centrality Node 4 = 0.5333333333333333
280,Closenes Centrality Node 9 = 0.44545454545454544
281,Closenes Centrality Node 11 = 0.35714285714285715
282,Closenes Centrality Node 11 = 0.2
283,Closenes Centrality Node 11 = 0.15000000000000002
284,Closenes Centrality Node 7 = 0.22499999999999998
285,Closenes Centrality Node 13 = 0.41558441558441556
286,Closenes Centrality Node 12 = 0.0
287,Closenes Centrality Node 23 = 0.38095238095238093
288,Closenes Centrality Node 5 = 0.5952380952380952
289,Closenes Centrality Node 10 = 0.15384615384615385
290,Closenes Centrality Node 6 = 0.0
291,Closenes Centrality Node 15 = 0.13533834586466165
292,Closenes Centrality Node 8 = 0.0
293,Closenes Centrality Node 18 = 0.16040100250626566
294,Closenes Centrality Node 6 = 0.0
295,Closenes Centrality Node 13 = 0.05555555555555555
296,Closenes Centrality Node 10 = 0.2512820512820513
297,Closenes Centrality Node 11 = 0.0
298,Closenes Centrality Node 16 = 0.3472222222222222
299,Closenes Centrality Node 10 = 0.16842105263157894
300,Closenes Centrality Node 14 = 0.28409090909090906
301,Closenes Centrality Node 10 = 0.16666666666666666
302,Closenes Centrality Node 11 = 0.24107142857142855
303,Closenes Centrality Node 18 = 0.37051282051282053
304,Closenes Centrality Node 16 = 0.25960061443932414
305,Closenes Centrality Node 14 = 0.41326530612244905
306,Closenes Centrality Node 7 = 0.043478260869565216
307,Closenes Centrality Node 8 = 0.14222222222222222
308,Closenes Centrality Node 8 = 0.0
309,Closenes Centrality Node 6 = 0.3076923076923077
310,Closenes Centrality Node 7 = 0.0
311,Closenes Centrality Node 13 = 0.19838056680161942
312,Closenes Centrality Node 21 = 0.3208020050125313
313,Closenes Centrality Node 8 = 0.3
314,Closenes Centrality Node 14 = 0.0
315,Closenes Centrality Node 5 = 0.25
316,Closenes Centrality Node 14 = 0.35
317,Closenes Centrality Node 17 = 0.2847058823529412
